drone_name,flight_radius,flight_height,cost,battery_life,wind_resistance,payload_capacity,noise_level,regulatory_compliance,camera_quality,obstacle_avoidance,user_rating
Autel Robotics EVO II,1944,8697,7730,11,40,4.56,20,0,25,1,8
Autel Robotics EVO II,5521,8497,7945,88,74,2.3,2,0,3,0,6
Autel Robotics EVO II,9140,7101,2581,95,75,19.22,89,1,13,0,9
Autel Robotics EVO II,2498,4853,10194,33,5,2.89,3,0,25,1,8
Autel Robotics EVO II Dual,5013,4600,12131,99,1,15.7,92,1,9,0,5
Autel Robotics EVO Lite,9678,3419,5846,44,83,10.04,99,1,49,1,4
Autel Robotics X-Star,4144,1808,12344,55,27,13.88,10,0,8,1,4
Autel Robotics X-Star Premium,1839,7825,3655,81,76,4.27,11,1,46,0,10
Autel Robotics X-Star Premium,6028,5613,9744,48,44,15.49,37,0,48,0,9
Autel Robotics X-Star Premium,2153,5747,4088,67,14,16.28,25,1,33,1,6
Autel Robotics X-Star Premium,6774,9538,13939,88,54,5.0,75,1,10,0,3
Autel Robotics X-Star Premium Drone,5127,7719,5310,5,28,8.13,74,0,8,0,7
Autel Robotics X-Star Premium Drone,657,6310,2435,36,13,19.31,63,0,42,1,4
Autel Robotics X-Star Premium Drone,3065,3874,3743,48,58,10.86,24,1,45,1,7
Autel Robotics X-Star Premium Drone,4957,8240,4919,13,94,0.43,61,0,20,1,7
Autel Robotics X-Star Premium with 4K Camera,724,3471,1098,73,91,6.31,43,0,28,0,7
Autel Robotics X-Star Premium with 4K Camera and 2 Batteries,56,1095,821,58,55,6.71,32,1,46,0,1
Autel Robotics X-Star Premium with 4K Camera and Accessories,5146,2423,9648,85,47,17.91,57,1,4,1,9
Autel Robotics X-Star Premium with 4K Camera and Carrying Case,2132,5442,12119,1,48,1.79,84,0,11,1,10
Autel Robotics X-Star Premium with 4K Camera and Carrying Case,1172,2578,10856,57,11,11.91,20,0,16,1,2
Autel Robotics X-Star Premium with 4K Camera and Carrying Case,409,2403,7223,88,49,9.43,7,0,27,1,8
Autel Robotics X-Star Premium with 4K Camera and Extra Battery,2970,1023,11335,89,79,1.74,78,1,11,1,1
Autel Robotics X-Star Premium with 4K Camera and Extra Propellers,3331,5230,5625,37,80,10.21,86,0,50,1,2
Autel Robotics X-Star Premium with 4K Camera and Extra Propellers,7561,5852,2437,26,43,9.77,14,0,28,1,1
Autel Robotics X-Star Premium with 4K Camera and Extra Propellers,2843,861,11695,6,10,9.18,0,0,45,1,4
Autel Robotics X-Star Premium with 4K Camera and Hardshell Case,218,6799,13236,96,91,18.41,2,1,0,0,5
Autel Robotics X-Star Premium with 4K Camera and Hardshell Case,1627,8310,8031,86,26,7.17,40,1,12,0,4
Autel Robotics X-Star Premium with 4K Camera and Polarizer Filter,7695,8430,8091,42,21,8.03,43,1,33,0,7
Autel Robotics X-Star Premium with 4K Camera and Polarizer Filter,4250,5227,14052,44,70,15.53,37,0,11,1,7
Autel Robotics X-Star Premium with 4K Camera and Remote Controller Lanyard,1449,9857,5490,3,72,4.3,74,0,36,0,1
Autel Robotics X-Star Premium with 4K Camera and Remote Controller Lanyard,3443,3569,14987,97,19,1.43,88,0,22,1,1
Autel Robotics X-Star Premium with 4K Camera and Sunshade,504,8456,9851,30,98,12.82,87,1,47,0,10
Autel Robotics X-Star Premium with 4K Camera and Sunshade,8369,9686,14319,65,70,8.24,68,1,29,0,3
Autel Robotics X-Star Premium with 4K Camera and Travel Case,5873,8222,10325,87,53,17.09,66,1,47,1,5
DJI Agras MG-1P,8543,4885,14386,62,26,18.05,11,1,15,0,8
DJI Agras MG-1S,8657,8915,1856,95,37,16.18,5,1,44,0,5
DJI Agras MG-1S,3426,3136,8807,87,47,16.66,66,0,27,0,8
DJI Agras MG-1S,7449,2613,10229,73,71,7.07,39,0,42,0,6
DJI Agras MG-1S,7275,3274,10067,2,36,8.0,79,0,46,0,3
DJI Agras T20,5422,5291,6860,4,83,10.87,29,0,7,1,6
DJI Agras T20,4812,3541,7149,18,82,2.36,14,0,35,0,4
DJI Agras T20,6062,9263,7466,95,77,2.95,99,1,46,0,3
DJI Agras T20,455,7542,3225,79,95,8.08,51,1,38,1,7
DJI FPV Combo,6782,9217,2357,29,22,4.44,35,1,28,0,10
DJI FPV Combo,1591,7000,12996,45,25,13.2,67,0,47,0,2
DJI FPV Combo,9838,6029,4872,37,96,10.72,34,1,28,0,9
DJI Inspire 2,8090,3978,9308,65,20,3.74,7,1,23,1,8
DJI Matrice 200 V2,6438,3050,10526,89,8,10.61,48,0,49,0,7
DJI Matrice 300 RTK,7195,4102,8673,17,36,1.68,86,0,45,1,6
DJI Matrice 300 RTK,4713,2380,10981,24,2,1.79,69,0,29,0,3
DJI Matrice 600 Pro,8193,9629,6945,77,62,9.75,48,0,2,1,7
DJI Matrice 600 Pro,6170,9117,10310,70,67,7.41,35,0,45,1,3
DJI Mavic 2 Enterprise,7209,7749,1516,90,46,9.19,35,1,26,0,2
DJI Mavic 2 Enterprise,5018,3630,8866,37,0,11.88,87,1,49,1,2
DJI Mavic 2 Enterprise,4120,7956,12605,14,31,13.83,26,1,12,1,4
DJI Mavic 2 Enterprise Dual,7888,5535,9510,46,16,13.25,20,1,35,1,4
DJI Mavic 2 Enterprise Dual,220,9073,6648,49,64,16.46,10,1,34,1,10
DJI Mavic 2 Pro,1923,1234,5739,70,70,19.26,78,0,27,1,7
DJI Mavic 2 Zoom,2544,6903,7455,61,5,15.82,3,0,29,0,7
DJI Mavic 2 Zoom,3104,4062,13399,21,30,1.81,44,0,24,1,6
DJI Mavic Air,1554,6678,9983,33,9,14.52,19,0,19,0,1
DJI Mavic Air 2,8434,5877,4331,71,70,9.39,49,1,14,0,6
DJI Mavic Air 2,2048,1860,5904,41,96,3.35,71,1,43,1,9
DJI Mavic Mini,9423,3530,5407,31,8,13.78,82,1,39,1,9
DJI Mavic Mini,5274,4803,4031,89,94,0.86,6,0,45,1,7
DJI Mavic Pro,7167,1122,1749,68,68,0.33,73,1,7,0,1
DJI Mavic Pro,2467,8923,4913,14,28,14.66,77,0,14,0,6
DJI Mavic Pro Platinum,8541,3274,12568,36,84,9.84,6,1,17,0,5
DJI Mavic Pro Platinum,3,8260,8375,43,54,5.27,64,0,23,1,2
